neighborhood,title,price,bedrooms,pid,sourcepage,link,date,sqft,longitude,latitude
san jose north,furnished townhouse now available,2000.0,2.0,4761737746,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761737746.html,2014-11-14 14:11,976.0,-121.861897,37.421299
milpitas,Contemporary Milpitas Home,2750.0,3.0,4750767743,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4750767743.html,2014-11-14 14:10,1705.0,-121.915297,37.449186
campbell,"GE apps, granite, dbl pane windows, private patio or balcony, AC, pool",1970.0,1.0,4761727913,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761727913.html,2014-11-14 14:10,700.0,-121.974166,37.268892
morgan hill,Studio Apartment Coming Soon Utilities Included!,950.0,,4761735072,http://sfbay.craigslist.org/search/sby/apa,http://sfbay.craigslist.org/sby/apa/4761735072.html,2014-11-14 14:09,500.0,-121.6501,37.1353
pacifica,"SPACIOUS FLOOR PLANS, FITNESS CENTER & JUST STEPS TO THE BEACH",1958.0,1.0,4761628988,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4761628988.html,2014-11-14 13:14,,-122.49233400000001,37.636334999999995
palo alto,"Large Apt, Desirable Location",2000.0,1.0,4756697986,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4756697986.html,2014-11-14 13:13,1000.0,-122.11753200000001,37.439095
palo alto,"Large Apt, Desirable Location",2300.0,2.0,4756699118,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4756699118.html,2014-11-14 13:13,1000.0,-122.11753200000001,37.439095
mountain view,TOP LOCATION NEAR DOWNTOWN,1650.0,1.0,4752665858,http://sfbay.craigslist.org/search/pen/apa,http://sfbay.craigslist.org/pen/apa/4752665858.html,2014-11-14 13:13,800.0,,
oakland hills / mills,"Beautiful, quiet home w/ 4bdrms &3 baths",3100.0,4.0,4751958077,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4751958077.html,2014-11-14 14:31,2800.0,-122.16066399999998,37.76189
oakland piedmont / montclair,Sunny apartment in Montclair,1850.0,2.0,4761769486,http://sfbay.craigslist.org/search/eby/apa,http://sfbay.craigslist.org/eby/apa/4761769486.html,2014-11-14 14:31,1000.0,-122.207278,37.828026
